# acentuada	ascii	marca	freq_corpus	gemeo_e_palavra_real
país	pais	agudo	297	1
indivíduos	individuos	agudo	116	1
está	esta	agudo	89	1
filósofo	filosofo	agudo	89	1
viés	vies	agudo	83	1
será	sera	agudo	50	1
àqueles	aqueles	grave	7	1
àquele	aquele	grave	3	1
àquela	aquela	grave	1	1
àquelas	aquelas	grave	1	1
èpoque	epoque	grave	1	0
importância	importancia	circunflexo	72	1
negligência	negligencia	circunflexo	35	1
influência	influencia	circunflexo	21	1
ineficiência	ineficiencia	circunflexo	11	1
porquê	porque	circunflexo	3	1
pôde	pode	circunflexo	1	1
depressão	depressao	til	94	0
cidadãos	cidadaos	til	63	0
questão	questao	til	49	0
exclusão	exclusao	til	44	0
regiões	regioes	til	39	0
visão	visao	til	28	0
doenças	doencas	cedilha	482	0
doença	doenca	cedilha	47	0
espaço	espaco	cedilha	19	0
preço	preco	cedilha	18	0
espaços	espacos	cedilha	14	0
presença	presenca	cedilha	14	0
