arquivo,palavra,ascii,par_id,escritor,semente,real,marca,onde,indice,medivel,faixa_massa,faixa_massa_rel,faixa_densidade,tem_gemeo,diff_massa_acc,diff_massa_asc,diff_delta,diff_delta_rel,diff_acima_do_topo,e2_lido,e2_cer,e1_escore,e1_presente,categoria
pais-8b83c1__acc__w174__s0.png,país,pais,pais-8b83c1,174,0,False,agudo,acima,2,True,51,0.11461,0.08748,True,169,110,59,0.16667,0,,,0.16667,,
individuos-2e50a2__acc__w174__s0.png,indivíduos,individuos,individuos-2e50a2,174,0,False,agudo,acima,5,True,6,0.0297,0.00379,True,6,8,-2,-0.00943,0,,,-0.00943,,
esta-2d1080__acc__w174__s0.png,está,esta,esta-2d1080,174,0,False,agudo,acima,3,True,253,0.68011,0.1221,True,253,245,8,0.02051,0,,,0.02051,,
filosofo-6185fc__acc__w174__s0.png,filósofo,filosofo,filosofo-6185fc,174,0,False,agudo,acima,3,True,50,0.26042,0.0384,True,7,23,-16,-0.05594,1,,,-0.05594,,
vies-abb582__acc__w174__s0.png,viés,vies,vies-abb582,174,0,False,agudo,acima,2,True,140,0.25135,0.09615,True,81,96,-15,-0.02475,0,,,-0.02475,,
sera-615740__acc__w174__s0.png,será,sera,sera-615740,174,0,False,agudo,acima,3,True,41,0.05216,0.04649,True,79,52,27,0.04362,10,,,0.04362,,
aqueles-f3aa73__acc__w174__s0.png,àqueles,aqueles,aqueles-f3aa73,174,0,False,grave,acima,0,True,0,0.0,0.0,True,0,4,-4,-0.0181,0,,,-0.0181,,
aquele-305a09__acc__w174__s0.png,àquele,aquele,aquele-305a09,174,0,False,grave,acima,0,True,46,0.21596,0.06534,True,46,50,-4,-0.01802,0,,,-0.01802,,
aquela-5f0a77__acc__w174__s0.png,àquela,aquela,aquela-5f0a77,174,0,False,grave,acima,0,True,43,0.22051,0.06108,True,43,42,1,0.00488,0,,,0.00488,,
aquelas-cda0ac__acc__w174__s0.png,àquelas,aquelas,aquelas-cda0ac,174,0,False,grave,acima,0,True,5,0.02273,0.00947,True,13,6,7,0.03627,0,,,0.03627,,
epoque-f59620__acc__w174__s0.png,èpoque,epoque,epoque-f59620,174,0,False,grave,acima,0,True,43,0.12573,0.13782,True,71,73,-2,-0.00676,0,,,-0.00676,,
importancia-39f2c4__acc__w174__s0.png,importância,importancia,importancia-39f2c4,174,0,False,circunflexo,acima,6,True,66,0.26721,0.05641,True,43,43,0,0.0,0,,,0.0,,
negligencia-07e163__acc__w174__s0.png,negligência,negligencia,negligencia-07e163,174,0,False,circunflexo,acima,6,True,0,0.0,0.0,True,0,1,-1,-0.00457,0,,,-0.00457,,
influencia-754992__acc__w174__s0.png,influência,influencia,influencia-754992,174,0,False,circunflexo,acima,5,True,3,0.01042,0.00245,True,3,18,-15,-0.04286,0,,,-0.04286,,
ineficiencia-65d1bb__acc__w174__s0.png,ineficiência,ineficiencia,ineficiencia-65d1bb,174,0,False,circunflexo,acima,7,True,56,0.23932,0.04762,True,39,21,18,0.06338,8,,,0.06338,,
porque-90c5f0__acc__w174__s0.png,porquê,porque,porque-90c5f0,174,0,False,circunflexo,acima,5,True,12,0.03704,0.04688,True,22,37,-15,-0.04464,0,,,-0.04464,,
pode-9faff7__acc__w174__s0.png,pôde,pode,pode-9faff7,174,0,False,circunflexo,acima,1,True,180,1.57895,0.10613,True,33,93,-60,-0.22472,0,,,-0.22472,,
depressao-2d26ca__acc__w174__s0.png,depressão,depressao,depressao-2d26ca,174,0,False,til,acima,7,True,25,0.09542,0.0243,True,7,10,-3,-0.0098,0,,,-0.0098,,
cidadaos-88079d__acc__w174__s0.png,cidadãos,cidadaos,cidadaos-88079d,174,0,False,til,acima,5,True,141,0.27115,0.07833,True,118,176,-58,-0.10507,0,,,-0.10507,,
questao-72d350__acc__w174__s0.png,questão,questao,questao-72d350,174,0,False,til,acima,5,True,79,0.316,0.079,True,63,63,0,0.0,0,,,0.0,,
exclusao-7a9dad__acc__w174__s0.png,exclusão,exclusao,exclusao-7a9dad,174,0,False,til,acima,6,True,40,0.10959,0.0254,True,54,51,3,0.00537,3,,,0.00537,,
regioes-ba061c__acc__w174__s0.png,regiões,regioes,regioes-ba061c,174,0,False,til,acima,4,True,4,0.01521,0.00808,True,4,14,-10,-0.0361,0,,,-0.0361,,
visao-ee76db__acc__w174__s0.png,visão,visao,visao-ee76db,174,0,False,til,acima,3,True,74,0.12715,0.03401,True,68,36,32,0.04222,5,,,0.04222,,
doencas-7ee44f__acc__w174__s0.png,doenças,doencas,doencas-7ee44f,174,0,False,cedilha,abaixo,4,True,7,0.02244,0.01977,True,0,1,-1,-0.00269,0,,,-0.00269,,
doenca-0cc034__acc__w174__s0.png,doença,doenca,doenca-0cc034,174,0,False,cedilha,abaixo,4,True,7,0.01754,0.02258,True,11,7,4,0.01055,3,,,0.01055,,
espaco-222fe5__acc__w174__s0.png,espaço,espaco,espaco-222fe5,174,0,False,cedilha,abaixo,4,True,0,0.0,0.0,True,0,0,0,0.0,0,,,0.0,,
preco-f110c7__acc__w174__s0.png,preço,preco,preco-f110c7,174,0,False,cedilha,abaixo,3,True,6,0.00882,0.00302,True,94,21,73,0.12718,22,,,0.12718,,
espacos-a321bd__acc__w174__s0.png,espaços,espacos,espacos-a321bd,174,0,False,cedilha,abaixo,4,True,13,0.02928,0.00714,True,0,4,-4,-0.00762,0,,,-0.00762,,
presenca-d6581f__acc__w174__s0.png,presença,presenca,presenca-d6581f,174,0,False,cedilha,abaixo,6,True,8,0.01386,0.0041,True,0,9,-9,-0.02041,0,,,-0.02041,,
pais-8b83c1__acc__w32__s0.png,país,pais,pais-8b83c1,32,0,False,agudo,acima,2,True,36,0.05547,0.11613,True,109,26,83,0.30741,0,,,0.30741,,
individuos-2e50a2__acc__w32__s0.png,indivíduos,individuos,individuos-2e50a2,32,0,False,agudo,acima,5,True,5,0.03448,0.00292,True,5,13,-8,-0.0479,0,,,-0.0479,,
esta-2d1080__acc__w32__s0.png,está,esta,esta-2d1080,32,0,False,agudo,acima,3,True,270,0.72581,0.11936,True,265,265,0,0.0,0,,,0.0,,
filosofo-6185fc__acc__w32__s0.png,filósofo,filosofo,filosofo-6185fc,32,0,False,agudo,acima,3,True,13,0.05882,0.01094,True,26,13,13,0.065,0,,,0.065,,
vies-abb582__acc__w32__s0.png,viés,vies,vies-abb582,32,0,False,agudo,acima,2,True,94,0.12467,0.06592,True,94,112,-18,-0.02378,0,,,-0.02378,,
sera-615740__acc__w32__s0.png,será,sera,sera-615740,32,0,False,agudo,acima,3,True,7,0.00638,0.00971,True,7,3,4,0.00376,0,,,0.00376,,
aqueles-f3aa73__acc__w32__s0.png,àqueles,aqueles,aqueles-f3aa73,32,0,False,grave,acima,0,True,30,0.11111,0.06818,True,46,36,10,0.04098,4,,,0.04098,,
aquele-305a09__acc__w32__s0.png,àquele,aquele,aquele-305a09,32,0,False,grave,acima,0,True,5,0.01524,0.00687,True,4,5,-1,-0.00286,0,,,-0.00286,,
aquela-5f0a77__acc__w32__s0.png,àquela,aquela,aquela-5f0a77,32,0,False,grave,acima,0,True,11,0.06395,0.0193,True,12,4,8,0.04444,0,,,0.04444,,
aquelas-cda0ac__acc__w32__s0.png,àquelas,aquelas,aquelas-cda0ac,32,0,False,grave,acima,0,True,38,0.14504,0.07851,True,38,36,2,0.008,0,,,0.008,,
epoque-f59620__acc__w32__s0.png,èpoque,epoque,epoque-f59620,32,0,False,grave,acima,0,True,56,0.175,0.14815,True,57,59,-2,-0.00641,0,,,-0.00641,,
importancia-39f2c4__acc__w32__s0.png,importância,importancia,importancia-39f2c4,32,0,False,circunflexo,acima,6,True,54,0.28723,0.0472,True,54,61,-7,-0.03911,2,,,-0.03911,,
negligencia-07e163__acc__w32__s0.png,negligência,negligencia,negligencia-07e163,32,0,False,circunflexo,acima,6,True,20,0.10811,0.02165,True,13,13,0,0.0,0,,,0.0,,
influencia-754992__acc__w32__s0.png,influência,influencia,influencia-754992,32,0,False,circunflexo,acima,5,True,9,0.04663,0.00844,True,9,14,-5,-0.02358,0,,,-0.02358,,
ineficiencia-65d1bb__acc__w32__s0.png,ineficiência,ineficiencia,ineficiencia-65d1bb,32,0,False,circunflexo,acima,7,True,39,0.17257,0.03659,True,46,37,9,0.03502,15,,,0.03502,,
porque-90c5f0__acc__w32__s0.png,porquê,porque,porque-90c5f0,32,0,False,circunflexo,acima,5,True,0,0.0,0.0,True,0,0,0,0.0,0,,,0.0,,
pode-9faff7__acc__w32__s0.png,pôde,pode,pode-9faff7,32,0,False,circunflexo,acima,1,True,18,0.05405,0.01858,True,12,4,8,0.02299,6,,,0.02299,,
depressao-2d26ca__acc__w32__s0.png,depressão,depressao,depressao-2d26ca,32,0,False,til,acima,7,True,2,0.00685,0.00255,True,2,1,1,0.00315,0,,,0.00315,,
cidadaos-88079d__acc__w32__s0.png,cidadãos,cidadaos,cidadaos-88079d,32,0,False,til,acima,5,True,139,0.32176,0.0702,True,111,130,-19,-0.0446,0,,,-0.0446,,
questao-72d350__acc__w32__s0.png,questão,questao,questao-72d350,32,0,False,til,acima,5,True,61,0.20539,0.08299,True,57,44,13,0.03552,0,,,0.03552,,
exclusao-7a9dad__acc__w32__s0.png,exclusão,exclusao,exclusao-7a9dad,32,0,False,til,acima,6,True,35,0.06045,0.02091,True,39,44,-5,-0.00803,0,,,-0.00803,,
regioes-ba061c__acc__w32__s0.png,regiões,regioes,regioes-ba061c,32,0,False,til,acima,4,True,16,0.05614,0.02735,True,16,10,6,0.02941,0,,,0.02941,,
visao-ee76db__acc__w32__s0.png,visão,visao,visao-ee76db,32,0,False,til,acima,3,True,34,0.06285,0.01637,True,19,18,1,0.00131,18,,,0.00131,,
doencas-7ee44f__acc__w32__s0.png,doenças,doencas,doencas-7ee44f,32,0,False,cedilha,abaixo,4,True,0,0.0,0.0,True,0,0,0,0.0,0,,,0.0,,
doenca-0cc034__acc__w32__s0.png,doença,doenca,doenca-0cc034,32,0,False,cedilha,abaixo,4,True,27,0.05,0.13235,True,45,64,-19,-0.03934,0,,,-0.03934,,
espaco-222fe5__acc__w32__s0.png,espaço,espaco,espaco-222fe5,32,0,False,cedilha,abaixo,4,True,5,0.01155,0.00237,True,0,0,0,0.0,0,,,0.0,,
preco-f110c7__acc__w32__s0.png,preço,preco,preco-f110c7,32,0,False,cedilha,abaixo,3,True,28,0.04452,0.01326,True,28,24,4,0.00745,0,,,0.00745,,
espacos-a321bd__acc__w32__s0.png,espaços,espacos,espacos-a321bd,32,0,False,cedilha,abaixo,4,True,14,0.03655,0.00763,True,0,3,-3,-0.00446,0,,,-0.00446,,
presenca-d6581f__acc__w32__s0.png,presença,presenca,presenca-d6581f,32,0,False,cedilha,abaixo,6,True,1,0.00254,0.00055,True,0,35,-35,-0.086,0,,,-0.086,,
