arquivo,palavra,ascii,par_id,escritor,semente,real,marca,onde,indice,medivel,fileiras_pauta,faixa_massa,faixa_massa_rel,faixa_densidade,tem_gemeo,diff_delta_rel,e2_lido,e2_cer,e1_escore,e1_presente,categoria
pais-8b83c1__acc__w174__s0.png,país,pais,pais-8b83c1,174,0,False,agudo,acima,2,True,0,51,0.11461,0.08748,True,0.13006,,,0.13006,,
individuos-2e50a2__acc__w174__s0.png,indivíduos,individuos,individuos-2e50a2,174,0,False,agudo,acima,5,True,0,6,0.0297,0.00379,True,-0.00943,,,-0.00943,,
esta-2d1080__acc__w174__s0.png,está,esta,esta-2d1080,174,0,False,agudo,acima,3,True,0,253,0.68011,0.1221,True,0.02051,,,0.02051,,
filosofo-6185fc__acc__w174__s0.png,filósofo,filosofo,filosofo-6185fc,174,0,False,agudo,acima,3,True,0,50,0.26042,0.0384,True,-0.01852,,,-0.01852,,
vies-abb582__acc__w174__s0.png,viés,vies,vies-abb582,174,0,False,agudo,acima,2,True,0,140,0.25135,0.09615,True,-0.02538,,,-0.02538,,
sera-615740__acc__w174__s0.png,será,sera,sera-615740,174,0,False,agudo,acima,3,True,0,41,0.05216,0.04649,True,0.04362,,,0.04362,,
aqueles-f3aa73__acc__w174__s0.png,àqueles,aqueles,aqueles-f3aa73,174,0,False,grave,acima,0,True,0,0,0.0,0.0,True,-0.01878,,,-0.01878,,
aquele-305a09__acc__w174__s0.png,àquele,aquele,aquele-305a09,174,0,False,grave,acima,0,True,0,46,0.21596,0.06534,True,-0.01802,,,-0.01802,,
aquela-5f0a77__acc__w174__s0.png,àquela,aquela,aquela-5f0a77,174,0,False,grave,acima,0,True,0,43,0.22051,0.06108,True,0.005,,,0.005,,
aquelas-cda0ac__acc__w174__s0.png,àquelas,aquelas,aquelas-cda0ac,174,0,False,grave,acima,0,True,0,5,0.02273,0.00947,True,-0.00541,,,-0.00541,,
epoque-f59620__acc__w174__s0.png,èpoque,epoque,epoque-f59620,174,0,False,grave,acima,0,True,0,43,0.12573,0.13782,True,-0.00676,,,-0.00676,,
importancia-39f2c4__acc__w174__s0.png,importância,importancia,importancia-39f2c4,174,0,False,circunflexo,acima,6,True,0,66,0.26721,0.05641,True,0.0,,,0.0,,
negligencia-07e163__acc__w174__s0.png,negligência,negligencia,negligencia-07e163,174,0,False,circunflexo,acima,6,True,0,0,0.0,0.0,True,0.0,,,0.0,,
influencia-754992__acc__w174__s0.png,influência,influencia,influencia-754992,174,0,False,circunflexo,acima,5,True,0,3,0.01042,0.00245,True,-0.04386,,,-0.04386,,
ineficiencia-65d1bb__acc__w174__s0.png,ineficiência,ineficiencia,ineficiencia-65d1bb,174,0,False,circunflexo,acima,7,True,0,56,0.23932,0.04762,True,0.06452,,,0.06452,,
porque-90c5f0__acc__w174__s0.png,porquê,porque,porque-90c5f0,174,0,False,circunflexo,acima,5,True,0,12,0.03704,0.04688,True,-0.0744,,,-0.0744,,
pode-9faff7__acc__w174__s0.png,pôde,pode,pode-9faff7,174,0,False,circunflexo,acima,1,True,0,180,1.57895,0.10613,True,-0.18561,,,-0.18561,,
depressao-2d26ca__acc__w174__s0.png,depressão,depressao,depressao-2d26ca,174,0,False,til,acima,7,True,0,25,0.09542,0.0243,True,-0.00993,,,-0.00993,,
cidadaos-88079d__acc__w174__s0.png,cidadãos,cidadaos,cidadaos-88079d,174,0,False,til,acima,5,True,0,141,0.27115,0.07833,True,-0.08514,,,-0.08514,,
questao-72d350__acc__w174__s0.png,questão,questao,questao-72d350,174,0,False,til,acima,5,True,0,79,0.316,0.079,True,-0.00235,,,-0.00235,,
exclusao-7a9dad__acc__w174__s0.png,exclusão,exclusao,exclusao-7a9dad,174,0,False,til,acima,6,True,0,40,0.10959,0.0254,True,0.0055,,,0.0055,,
regioes-ba061c__acc__w174__s0.png,regiões,regioes,regioes-ba061c,174,0,False,til,acima,4,True,0,4,0.01521,0.00808,True,-0.0369,,,-0.0369,,
visao-ee76db__acc__w174__s0.png,visão,visao,visao-ee76db,174,0,False,til,acima,3,True,0,74,0.12715,0.03401,True,0.03356,,,0.03356,,
doencas-7ee44f__acc__w174__s0.png,doenças,doencas,doencas-7ee44f,174,0,False,cedilha,abaixo,4,True,0,7,0.02244,0.01977,True,-0.00269,,,-0.00269,,
doenca-0cc034__acc__w174__s0.png,doença,doenca,doenca-0cc034,174,0,False,cedilha,abaixo,4,True,0,7,0.01754,0.02258,True,0.02145,,,0.02145,,
espaco-222fe5__acc__w174__s0.png,espaço,espaco,espaco-222fe5,174,0,False,cedilha,abaixo,4,True,0,0,0.0,0.0,True,0.0,,,0.0,,
preco-f110c7__acc__w174__s0.png,preço,preco,preco-f110c7,174,0,False,cedilha,abaixo,3,True,0,6,0.00882,0.00302,True,0.13012,,,0.13012,,
espacos-a321bd__acc__w174__s0.png,espaços,espacos,espacos-a321bd,174,0,False,cedilha,abaixo,4,True,0,13,0.02928,0.00714,True,-0.00195,,,-0.00195,,
presenca-d6581f__acc__w174__s0.png,presença,presenca,presenca-d6581f,174,0,False,cedilha,abaixo,6,True,0,8,0.01386,0.0041,True,-0.02088,,,-0.02088,,
pais-8b83c1__acc__w32__s0.png,país,pais,pais-8b83c1,32,0,False,agudo,acima,2,True,0,36,0.05547,0.11613,True,-0.03333,,,-0.03333,,
individuos-2e50a2__acc__w32__s0.png,indivíduos,individuos,individuos-2e50a2,32,0,False,agudo,acima,5,True,0,5,0.03448,0.00292,True,-0.04878,,,-0.04878,,
esta-2d1080__acc__w32__s0.png,está,esta,esta-2d1080,32,0,False,agudo,acima,3,True,0,270,0.72581,0.11936,True,0.0,,,0.0,,
filosofo-6185fc__acc__w32__s0.png,filósofo,filosofo,filosofo-6185fc,32,0,False,agudo,acima,3,True,0,13,0.05882,0.01094,True,0.06,,,0.06,,
vies-abb582__acc__w32__s0.png,viés,vies,vies-abb582,32,0,False,agudo,acima,2,True,0,94,0.12467,0.06592,True,-0.02403,,,-0.02403,,
sera-615740__acc__w32__s0.png,será,sera,sera-615740,32,0,False,agudo,acima,3,True,0,7,0.00638,0.00971,True,0.00376,,,0.00376,,
aqueles-f3aa73__acc__w32__s0.png,àqueles,aqueles,aqueles-f3aa73,32,0,False,grave,acima,0,True,0,30,0.11111,0.06818,True,0.04292,,,0.04292,,
aquele-305a09__acc__w32__s0.png,àquele,aquele,aquele-305a09,32,0,False,grave,acima,0,True,0,5,0.01524,0.00687,True,-0.00296,,,-0.00296,,
aquela-5f0a77__acc__w32__s0.png,àquela,aquela,aquela-5f0a77,32,0,False,grave,acima,0,True,0,11,0.06395,0.0193,True,0.04908,,,0.04908,,
aquelas-cda0ac__acc__w32__s0.png,àquelas,aquelas,aquelas-cda0ac,32,0,False,grave,acima,0,True,0,38,0.14504,0.07851,True,0.00826,,,0.00826,,
epoque-f59620__acc__w32__s0.png,èpoque,epoque,epoque-f59620,32,0,False,grave,acima,0,True,0,56,0.175,0.14815,True,-0.00654,,,-0.00654,,
importancia-39f2c4__acc__w32__s0.png,importância,importancia,importancia-39f2c4,32,0,False,circunflexo,acima,6,True,0,54,0.28723,0.0472,True,-0.03977,,,-0.03977,,
negligencia-07e163__acc__w32__s0.png,negligência,negligencia,negligencia-07e163,32,0,False,circunflexo,acima,6,True,0,20,0.10811,0.02165,True,0.0,,,0.0,,
influencia-754992__acc__w32__s0.png,influência,influencia,influencia-754992,32,0,False,circunflexo,acima,5,True,0,9,0.04663,0.00844,True,-0.02871,,,-0.02871,,
ineficiencia-65d1bb__acc__w32__s0.png,ineficiência,ineficiencia,ineficiencia-65d1bb,32,0,False,circunflexo,acima,7,True,0,39,0.17257,0.03659,True,0.03502,,,0.03502,,
porque-90c5f0__acc__w32__s0.png,porquê,porque,porque-90c5f0,32,0,False,circunflexo,acima,5,True,0,0,0.0,0.0,True,0.0,,,0.0,,
pode-9faff7__acc__w32__s0.png,pôde,pode,pode-9faff7,32,0,False,circunflexo,acima,1,True,0,18,0.05405,0.01858,True,0.03235,,,0.03235,,
depressao-2d26ca__acc__w32__s0.png,depressão,depressao,depressao-2d26ca,32,0,False,til,acima,7,True,0,2,0.00685,0.00255,True,-0.00318,,,-0.00318,,
cidadaos-88079d__acc__w32__s0.png,cidadãos,cidadaos,cidadaos-88079d,32,0,False,til,acima,5,True,0,139,0.32176,0.0702,True,-0.03286,,,-0.03286,,
questao-72d350__acc__w32__s0.png,questão,questao,questao-72d350,32,0,False,til,acima,5,True,0,61,0.20539,0.08299,True,0.03324,,,0.03324,,
exclusao-7a9dad__acc__w32__s0.png,exclusão,exclusao,exclusao-7a9dad,32,0,False,til,acima,6,True,0,35,0.06045,0.02091,True,-0.00817,,,-0.00817,,
regioes-ba061c__acc__w32__s0.png,regiões,regioes,regioes-ba061c,32,0,False,til,acima,4,True,0,16,0.05614,0.02735,True,0.02985,,,0.02985,,
visao-ee76db__acc__w32__s0.png,visão,visao,visao-ee76db,32,0,False,til,acima,3,True,0,34,0.06285,0.01637,True,0.00132,,,0.00132,,
doencas-7ee44f__acc__w32__s0.png,doenças,doencas,doencas-7ee44f,32,0,False,cedilha,abaixo,4,True,0,0,0.0,0.0,True,0.0,,,0.0,,
doenca-0cc034__acc__w32__s0.png,doença,doenca,doenca-0cc034,32,0,False,cedilha,abaixo,4,True,0,27,0.05,0.13235,True,-0.03992,,,-0.03992,,
espaco-222fe5__acc__w32__s0.png,espaço,espaco,espaco-222fe5,32,0,False,cedilha,abaixo,4,True,0,5,0.01155,0.00237,True,0.0,,,0.0,,
preco-f110c7__acc__w32__s0.png,preço,preco,preco-f110c7,32,0,False,cedilha,abaixo,3,True,0,28,0.04452,0.01326,True,0.00573,,,0.00573,,
espacos-a321bd__acc__w32__s0.png,espaços,espacos,espacos-a321bd,32,0,False,cedilha,abaixo,4,True,0,14,0.03655,0.00763,True,0.04141,,,0.04141,,
presenca-d6581f__acc__w32__s0.png,presença,presenca,presenca-d6581f,32,0,False,cedilha,abaixo,6,True,0,1,0.00254,0.00055,True,-0.08685,,,-0.08685,,
pais-8b83c1__acc__w424__s0.png,país,pais,pais-8b83c1,424,0,False,agudo,acima,2,True,0,111,0.2033,0.14919,True,0.04136,,,0.04136,,
individuos-2e50a2__acc__w424__s0.png,indivíduos,individuos,individuos-2e50a2,424,0,False,agudo,acima,5,True,0,54,0.25962,0.03241,True,-0.06393,,,-0.06393,,
esta-2d1080__acc__w424__s0.png,está,esta,esta-2d1080,424,0,False,agudo,acima,3,True,0,227,0.46901,0.11511,True,0.21319,,,0.21319,,
filosofo-6185fc__acc__w424__s0.png,filósofo,filosofo,filosofo-6185fc,424,0,False,agudo,acima,3,True,0,116,0.39322,0.10545,True,0.1014,,,0.1014,,
vies-abb582__acc__w424__s0.png,viés,vies,vies-abb582,424,0,False,agudo,acima,2,True,0,90,0.11553,0.07143,True,0.01674,,,0.01674,,
sera-615740__acc__w424__s0.png,será,sera,sera-615740,424,0,False,agudo,acima,3,True,0,33,0.03167,0.02001,True,0.00279,,,0.00279,,
aqueles-f3aa73__acc__w424__s0.png,àqueles,aqueles,aqueles-f3aa73,424,0,False,grave,acima,0,True,0,37,0.14567,0.05606,True,-0.00441,,,-0.00441,,
aquele-305a09__acc__w424__s0.png,àquele,aquele,aquele-305a09,424,0,False,grave,acima,0,True,0,33,0.132,0.04044,True,-0.00377,,,-0.00377,,
aquela-5f0a77__acc__w424__s0.png,àquela,aquela,aquela-5f0a77,424,0,False,grave,acima,0,True,0,27,0.10588,0.03176,True,0.0041,,,0.0041,,
aquelas-cda0ac__acc__w424__s0.png,àquelas,aquelas,aquelas-cda0ac,424,0,False,grave,acima,0,True,0,48,0.18182,0.06818,True,0.0037,,,0.0037,,
epoque-f59620__acc__w424__s0.png,èpoque,epoque,epoque-f59620,424,0,False,grave,acima,0,True,0,88,0.21569,0.16858,True,-0.00467,,,-0.00467,,
